_id,type,time,X,Y,Z,uid,timestamp,x,y,z,test
67732e569b85a0767f6f2214,Gravity,2024-10-30T01:41:56.435Z,-6.5335364,-7.2307744,-1.0950743,W1hZkqBeWCUTVBX6rx9OeHmaWx63,,,,,
67732e569b85a0767f6f2215,Gravity,2024-10-30T01:41:56.441Z,-6.2898483,-7.4750314,-0.8556372,W1hZkqBeWCUTVBX6rx9OeHmaWx63,,,,,
67732e569b85a0767f6f2216,Gravity,2024-10-30T01:41:56.460Z,-6.049251,-7.695514,-0.5966823,W1hZkqBeWCUTVBX6rx9OeHmaWx63,,,,,
67732e569b85a0767f6f2217,Gravity,2024-10-30T01:41:56.480Z,-5.808424,-7.8951144,-0.3158663,W1hZkqBeWCUTVBX6rx9OeHmaWx63,,,,,
67732e569b85a0767f6f2218,Gravity,2024-10-30T01:41:56.500Z,-5.5473275,-8.086417,0.08627777,W1hZkqBeWCUTVBX6rx9OeHmaWx63,,,,,
67732e569b85a0767f6f2219,Gravity,2024-10-30T01:41:56.524Z,-5.2376423,-8.26481,0.65608436,W1hZkqBeWCUTVBX6rx9OeHmaWx63,,,,,
67732e569b85a0767f6f221a,Gravity,2024-10-30T01:41:56.540Z,-4.865085,-8.408572,1.3406126,W1hZkqBeWCUTVBX6rx9OeHmaWx63,,,,,
67732e569b85a0767f6f221b,Gravity,2024-10-30T01:41:56.560Z,-4.4217367,-8.491462,2.1245518,W1hZkqBeWCUTVBX6rx9OeHmaWx63,,,,,
67732e569b85a0767f6f221c,Gravity,2024-10-30T01:41:56.580Z,-3.9464846,-8.48802,2.9238973,W1hZkqBeWCUTVBX6rx9OeHmaWx63,,,,,
67732e569b85a0767f6f221d,Gravity,2024-10-30T01:41:56.600Z,-3.513071,-8.464618,3.4898424,W1hZkqBeWCUTVBX6rx9OeHmaWx63,,,,,
67732e569b85a0767f6f221e,Gravity,2024-10-30T01:41:56.620Z,-3.1430104,-8.564707,3.5969012,W1hZkqBeWCUTVBX6rx9OeHmaWx63,,,,,
67732e569b85a0767f6f221f,Gravity,2024-10-30T01:41:56.645Z,-2.8163352,-8.816177,3.2424774,W1hZkqBeWCUTVBX6rx9OeHmaWx63,,,,,
67732e569b85a0767f6f2220,Gravity,2024-10-30T01:41:56.666Z,-2.5137532,-9.086667,2.6988757,W1hZkqBeWCUTVBX6rx9OeHmaWx63,,,,,
67732e569b85a0767f6f2221,Gravity,2024-10-30T01:41:56.680Z,-2.2213407,-9.2615,2.3367994,W1hZkqBeWCUTVBX6rx9OeHmaWx63,,,,,
67732e569b85a0767f6f2222,Gravity,2024-10-30T01:41:56.712Z,-1.9611174,-9.324562,2.3188236,W1hZkqBeWCUTVBX6rx9OeHmaWx63,,,,,
67732e569b85a0767f6f2223,Gravity,2024-10-30T01:41:56.726Z,-1.7426442,-9.317326,2.5141678,W1hZkqBeWCUTVBX6rx9OeHmaWx63,,,,,
67732e569b85a0767f6f2224,Gravity,2024-10-30T01:41:56.740Z,-1.5744745,-9.305717,2.6636546,W1hZkqBeWCUTVBX6rx9OeHmaWx63,,,,,
67732e569b85a0767f6f2225,Gravity,2024-10-30T01:41:56.760Z,-1.4940045,-9.341591,2.5832162,W1hZkqBeWCUTVBX6rx9OeHmaWx63,,,,,
67732e569b85a0767f6f2226,Gravity,2024-10-30T01:41:56.781Z,-1.5000079,-9.407229,2.3290381,W1hZkqBeWCUTVBX6rx9OeHmaWx63,,,,,
67732e569b85a0767f6f2227,Gravity,2024-10-30T01:41:56.800Z,-1.5982549,-9.460125,2.0302773,W1hZkqBeWCUTVBX6rx9OeHmaWx63,,,,,
67732e569b85a0767f6f2228,Gravity,2024-10-30T01:41:56.821Z,-1.7874556,-9.490812,1.7029005,W1hZkqBeWCUTVBX6rx9OeHmaWx63,,,,,
67732e569b85a0767f6f2229,Gravity,2024-10-30T01:41:56.840Z,-2.043108,-9.487188,1.4104555,W1hZkqBeWCUTVBX6rx9OeHmaWx63,,,,,
67732e569b85a0767f6f222a,Gravity,2024-10-30T01:41:56.860Z,-2.3707023,-9.441587,1.1859955,W1hZkqBeWCUTVBX6rx9OeHmaWx63,,,,,
67732e569b85a0767f6f222b,Gravity,2024-10-30T01:41:56.880Z,-2.7214854,-9.367342,1.0083915,W1hZkqBeWCUTVBX6rx9OeHmaWx63,,,,,
67732e569b85a0767f6f222c,Gravity,2024-10-30T01:41:56.900Z,-3.06939,-9.284316,0.7420944,W1hZkqBeWCUTVBX6rx9OeHmaWx63,,,,,
67732e569b85a0767f6f222d,Gravity,2024-10-30T01:41:56.920Z,-3.4373384,-9.181817,0.22211072,W1hZkqBeWCUTVBX6rx9OeHmaWx63,,,,,
67732e569b85a0767f6f222e,Gravity,2024-10-30T01:41:56.940Z,-3.8243778,-9.013825,-0.5435925,W1hZkqBeWCUTVBX6rx9OeHmaWx63,,,,,
67732e569b85a0767f6f222f,Gravity,2024-10-30T01:41:56.960Z,-4.2162085,-8.744813,-1.3864561,W1hZkqBeWCUTVBX6rx9OeHmaWx63,,,,,
67732e569b85a0767f6f2230,Gravity,2024-10-30T01:41:56.979Z,-4.6110444,-8.392397,-2.115729,W1hZkqBeWCUTVBX6rx9OeHmaWx63,,,,,
67732e569b85a0767f6f2231,Gravity,2024-10-30T01:41:57.000Z,-4.970337,-8.034305,-2.6298459,W1hZkqBeWCUTVBX6rx9OeHmaWx63,,,,,
67732e569b85a0767f6f2232,Gravity,2024-10-30T01:41:57.020Z,-5.2549915,-7.7404075,-2.9396505,W1hZkqBeWCUTVBX6rx9OeHmaWx63,,,,,
67732e569b85a0767f6f2233,Gravity,2024-10-30T01:41:57.040Z,-5.4739943,-7.535668,-3.0691183,W1hZkqBeWCUTVBX6rx9OeHmaWx63,,,,,
67732e569b85a0767f6f2234,Gravity,2024-10-30T01:41:57.060Z,-5.6042275,-7.430703,-3.0899277,W1hZkqBeWCUTVBX6rx9OeHmaWx63,,,,,
67732e569b85a0767f6f2235,Gravity,2024-10-30T01:41:57.080Z,-5.6170754,-7.4225116,-3.0862978,W1hZkqBeWCUTVBX6rx9OeHmaWx63,,,,,
67732e569b85a0767f6f2236,Gravity,2024-10-30T01:41:57.099Z,-5.445142,-7.5431175,-3.1019619,W1hZkqBeWCUTVBX6rx9OeHmaWx63,,,,,
67732e569b85a0767f6f2237,Gravity,2024-10-30T01:41:57.127Z,-5.046322,-7.824473,-3.0793982,W1hZkqBeWCUTVBX6rx9OeHmaWx63,,,,,
67732e569b85a0767f6f2238,Gravity,2024-10-30T01:41:57.139Z,-4.444609,-8.243847,-2.9077153,W1hZkqBeWCUTVBX6rx9OeHmaWx63,,,,,
67732e569b85a0767f6f2239,Gravity,2024-10-30T01:41:57.161Z,-3.706444,-8.715875,-2.5428743,W1hZkqBeWCUTVBX6rx9OeHmaWx63,,,,,
67732e569b85a0767f6f223a,Gravity,2024-10-30T01:41:57.179Z,-2.991696,-9.118559,-2.0179262,W1hZkqBeWCUTVBX6rx9OeHmaWx63,,,,,
67732e569b85a0767f6f223b,Gravity,2024-10-30T01:41:57.200Z,-2.3327978,-9.403071,-1.5200907,W1hZkqBeWCUTVBX6rx9OeHmaWx63,,,,,
67732e569b85a0767f6f223c,Gravity,2024-10-30T01:41:57.244Z,-1.6810713,-9.595293,-1.1290392,W1hZkqBeWCUTVBX6rx9OeHmaWx63,,,,,
67732e569b85a0767f6f223d,Gravity,2024-10-30T01:41:57.244Z,-0.9195716,-9.755306,-0.39847502,W1hZkqBeWCUTVBX6rx9OeHmaWx63,,,,,
67732e569b85a0767f6f223e,Gravity,2024-10-30T01:41:57.265Z,-0.7382145,-9.776428,-0.21656069,W1hZkqBeWCUTVBX6rx9OeHmaWx63,,,,,
